,DATAHORA,COIN,SETUP,RESUMO,TIPO,STATUS,BUY AVG,BUY QNT,BUY CAPITAL,LEAVERAGE,,P1 DATE,P1 AVG,P1 QNT,P1 %,P1 PNL,P1 PNL %,P2 DATE,P2 AVG,P2 QNT,P2 %,P2 PNL,P2 PNL %,P3 DATE,P3 AVG,P3 QNT,P3 %,P3 PNL,P3 PNL %,FEES,DIA,TOTAL_PERCENT,LAST_EXIT_DATE,TOTAL_PNL
0,2026-01-11 20:48:00,ETH,4H Compra na Base da LTA,,LONG,FECHADO,3119.95,0.48077,1499.978362,1,,2026-01-17 00:00:00,3326,0.24014,50.0,48.7,6.49,2026-01-17 13:12:22,"3,280",0.24014,50.0,37.7,5.03,,,,0.0,0.0,0.0,1.2,2026-01-11,5.76,2026-01-17 13:12:22,86.4
1,2026-01-13 13:04:00,DASH,"5m Sobrevenda
Depois de Subida Forte",Stopado Cedo - Medo de perder,LONG,FECHADO,57.64,8.673,499.91172,1,,2026-01-14 00:00:00,77.36,7.655,88.0,152.3,34.62,2026-01-14 08:10:21,74,1.018,12.0,15.3,25.5,,,,0.0,0.0,0.0,0.4,2026-01-13,33.5256,2026-01-14 08:10:21,167.6
2,2026-01-13 13:14:00,DASH,"5m Sobrevenda
Depois de Subida Forte",Stopado Cedo - Medo de perder,LONG,FECHADO,55.5,9,499.5,1,,2026-01-14 00:00:00,74,9,100.0,166.5,33.33,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.4,2026-01-13,33.33,2026-01-14 00:00:00,166.5
3,2026-01-14 10:23:00,BCH,"S Rompimento de Padrão 
Xícara com reteste",Não tive paciencia para esperar,LONG,FECHADO,600,0.6667,400.02,1,,2026-01-16 00:00:00,595,0.6667,100.0,-3.3,-0.82,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.32,2026-01-14,-0.82,2026-01-16 00:00:00,-3.3
4,2026-01-16 13:08:00,BCH,"1H Sobrevenda 
em suporte local",,LONG,FECHADO,94823,0.008436,799.926828,1,,2026-01-18 00:00:00,"92,915",0.008427,100.0,-16.9,-2.11,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.64,2026-01-16,-2.11,2026-01-18 00:00:00,-16.9
5,2026-01-17 23:46:00,DASH,"1H Sobrevenda com
divergência no RSI",,LONG,FECHADO,72.52,2.769,200.80788,1,,2026-01-18 00:00:00,79.32,2.769,100.0,18.8,9.36,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.16,2026-01-17,9.36,2026-01-18 00:00:00,18.8
6,2026-01-18 22:12:00,DASH,Base Triangulo depois de Flush de Venda,,LONG,FECHADO,78.97,3,236.91,1,,2026-01-19 04:11:00,85.35,3,100.0,19.1,8.06,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.19,2026-01-18,8.06,2026-01-19 04:11:00,19.1
7,2026-01-18 23:14:00,ETH,Base Triangulo,Rompeu para virar canal de baixa,LONG,FECHADO,3199,0.05,159.95,1,,2026-01-19 20:07:00,"3,170",0.05,100.0,-1.5,-0.94,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.13,2026-01-18,-0.94,2026-01-19 20:07:00,-1.5
8,2026-01-19 11:31:00,ZEC,,,LONG,FECHADO,377.14,1.5,565.71,1,,2026-01-20 00:00:00,362.67,0.5,33.0,-5.3,-2.84,2026-01-21 12:04:52,362.67,1,67.0,-16.4,-4.33,,,,0.0,0.0,0.0,0.45,2026-01-19,-3.8382998,2026-01-21 12:04:52,-21.7
9,2026-01-19 17:01:00,DASH,Base Triangulo,Rompeu para virar canal de baixa,LONG,FECHADO,75.5,6,453,1,,2026-01-20 05:32:00,68,6,100.0,-45.0,-9.93,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.36,2026-01-19,-9.93,2026-01-20 05:32:00,-45.0
10,2026-01-20 13:53:00,XMR,,,LONG,FECHADO,509,1,509,1,,2026-01-20 22:49:00,481,1,100.0,-28.0,-5.5,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.41,2026-01-20,-5.5,2026-01-20 22:49:00,-28.0
11,2026-01-21 10:53:00,DASH,15 Min Base Cunha descendente,OK,LONG,FECHADO,68.05,20,1361,1,,2026-01-21 11:19:00,69.97,20,100.0,38.4,2.82,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,1.09,2026-01-21,2.82,2026-01-21 11:19:00,38.4
12,2026-01-21 14:39:00,DASH,15 Min Base canal de baixa,OK,LONG,FECHADO,66.74,40,2669.6,1,,2026-01-21 14:43:00,66.84,40,100.0,4.0,0.15,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,2.14,2026-01-21,0.15,2026-01-21 14:43:00,4.0
