,DATAHORA,COIN,TIPO,STATUS,BUY AVG,BUY QNT,BUY CAPITAL,P1 PNL,P1 PNL %,P2 PNL,P2 PNL %,P3 PNL,P3 PNL %,P1 %,P2 %,P3 %,LAST_EXIT_DATE,FEES,TOTAL_PNL,TOTAL_PERCENT,DIA
0,2026-01-11 20:48:00,ETH,LONG,FECHADO,3119.95,0.48077,1499.978362,48.7,6.49,37.7,5.03,0.0,0.0,50.0,50.0,0.0,2026-01-17 13:12:22,1.2,86.4,5.76,2026-01-11
1,2026-01-13 13:04:00,DASH,LONG,FECHADO,57.64,8.673,499.91172,152.3,34.62,15.3,25.5,0.0,0.0,88.0,12.0,0.0,2026-01-14 08:10:21,0.4,167.6,33.5256,2026-01-13
2,2026-01-13 13:14:00,DASH,LONG,FECHADO,55.5,9,499.5,166.5,33.33,0.0,0.0,0.0,0.0,100.0,0.0,0.0,2026-01-14 00:00:00,0.4,166.5,33.33,2026-01-13
3,2026-01-14 10:23:00,BCH,LONG,FECHADO,600,0.6667,400.02,-3.3,-0.82,0.0,0.0,0.0,0.0,100.0,0.0,0.0,2026-01-16 00:00:00,0.32,-3.3,-0.82,2026-01-14
4,2026-01-16 13:08:00,BCH,LONG,FECHADO,94823,0.008436,799.926828,-16.9,-2.11,0.0,0.0,0.0,0.0,100.0,0.0,0.0,2026-01-18 00:00:00,0.64,-16.9,-2.11,2026-01-16
5,2026-01-17 23:46:00,DASH,LONG,FECHADO,72.52,2.769,200.80788,18.8,9.36,0.0,0.0,0.0,0.0,100.0,0.0,0.0,2026-01-18 00:00:00,0.16,18.8,9.36,2026-01-17
6,2026-01-18 22:12:00,DASH,LONG,FECHADO,78.97,3,236.91,19.1,8.06,0.0,0.0,0.0,0.0,100.0,0.0,0.0,2026-01-19 04:11:00,0.19,19.1,8.06,2026-01-18
7,2026-01-18 23:14:00,ETH,LONG,FECHADO,3199,0.05,159.95,-1.5,-0.94,0.0,0.0,0.0,0.0,100.0,0.0,0.0,2026-01-19 20:07:00,0.13,-1.5,-0.94,2026-01-18
8,2026-01-19 11:31:00,ZEC,LONG,FECHADO,377.14,1.5,565.71,-5.3,-2.84,-16.4,-4.33,0.0,0.0,33.0,67.0,0.0,2026-01-21 12:04:52,0.45,-21.7,-3.8382998,2026-01-19
9,2026-01-19 17:01:00,DASH,LONG,FECHADO,75.5,6,453,-45.0,-9.93,0.0,0.0,0.0,0.0,100.0,0.0,0.0,2026-01-20 05:32:00,0.36,-45.0,-9.93,2026-01-19
10,2026-01-20 13:53:00,XMR,LONG,FECHADO,509,1,509,-28.0,-5.5,0.0,0.0,0.0,0.0,100.0,0.0,0.0,2026-01-20 22:49:00,0.41,-28.0,-5.5,2026-01-20
11,2026-01-21 10:53:00,DASH,LONG,FECHADO,68.05,20,1361,38.4,2.82,0.0,0.0,0.0,0.0,100.0,0.0,0.0,2026-01-21 11:19:00,1.09,38.4,2.82,2026-01-21
12,2026-01-21 14:39:00,DASH,LONG,FECHADO,66.74,40,2669.6,4.0,0.15,0.0,0.0,0.0,0.0,100.0,0.0,0.0,2026-01-21 14:43:00,2.14,4.0,0.15,2026-01-21
13,2026-01-22 08:49:00,DASH,LONG,FECHADO,65.57,20,1311.4,6.6,0.5,0.0,0.0,0.0,0.0,100.0,0.0,0.0,2026-01-22 09:35:00,1.05,6.6,0.5,2026-01-22
14,2026-01-22 11:37:00,DASH,LONG,FECHADO,64.89,10,648.9,0.1,0.02,0.0,0.0,0.0,0.0,100.0,0.0,0.0,2026-01-22 11:46:00,0.52,0.1,0.02,2026-01-22
15,2026-01-22 11:48:00,DASH,LONG,FECHADO,64.8,20,1296,-1.8,-0.14,0.0,0.0,0.0,0.0,100.0,0.0,0.0,2026-01-22 12:02:00,1.04,-1.8,-0.14,2026-01-22
16,2026-01-22 15:42:00,DASH,LONG,FECHADO,63.92,20,1278.4,-2.8,-0.22,0.0,0.0,0.0,0.0,100.0,0.0,0.0,2026-01-22 15:42:00,1.02,-2.8,-0.22,2026-01-22
17,2026-01-22 15:44:00,DASH,LONG,FECHADO,63.93,40,2557.2,-11.2,-0.44,0.0,0.0,0.0,0.0,100.0,0.0,0.0,2026-01-22 15:46:00,2.05,-11.2,-0.44,2026-01-22
18,2026-01-22 15:48:00,DASH,LONG,FECHADO,63.5,50,3175,-28.0,-0.88,0.0,0.0,0.0,0.0,100.0,0.0,0.0,2026-01-22 16:21:00,2.54,-28.0,-0.88,2026-01-22
19,2026-01-23 08:32:00,DUSK,LONG,FECHADO,0.15541,5000,777.05,10.0,1.72,0.9,0.46,0.0,0.0,75.0,25.0,0.0,2026-01-23 10:16:00,0.62,10.9,1.405,2026-01-23
